"Story","Title","Result","Date","Stability","Duration (s)"
"user","Create new user","SUCCESS","2022-07-29T00:34:00.775+03:00[Europe/Riga]","0.0","6.05"
"user","Update user","SUCCESS","2022-07-29T00:34:06.863+03:00[Europe/Riga]","0.0","3.74"
